SL.No,Date,Category,Sub category,Ward Name/No,Zone Name,Grievance Mode,Status
29,12-02-2020,Health Dept,Increase in mosquito density,Hoodi/54,Mahadevapura,Sahaaya App,CLOSED
30,12-02-2020,Health Dept,Increase in mosquito density,K.R.Puram/52,Mahadevapura,Sahaaya App,CLOSED
31,12-02-2020,Health Dept,Spraying,Begur/192,Bommanahalli,Sahaaya Helpline,CLOSED
32,12-02-2020,Health Dept,Increase in mosquito density,Jeevanbhima Nagar/88,East,Sahaaya Helpline,CLOSED
33,13-02-2020,Health Dept,Increase in mosquito density,Hombegowda Nagar/145,South,Sahaaya App,REJECTED
34,13-02-2020,Health Dept,Increase in mosquito density,Sudam Nagar/118,South,Sahaaya Helpline,CLOSED
35,13-02-2020,Health Dept,Increase in mosquito density,Ulsoor/90,East,Nammabengaluru App,CLOSED
36,13-02-2020,Health Dept,Increase in mosquito density,Hoodi/54,Mahadevapura,Sahaaya App,CLOSED
37,14-02-2020,Health Dept,Increase in mosquito density,Hoodi/54,Mahadevapura,BBMP Website,CLOSED
38,14-02-2020,Health Dept,Fogging,Nagavara/23,East,Sahaaya Helpline,CLOSED
39,14-02-2020,Health Dept,Air/Noise pollution,Bellandur/150,Mahadevapura,Nammabengaluru App,CLOSED
40,14-02-2020,Health Dept,Fogging,Domlur/112,East,Sahaaya Helpline,CLOSED
41,14-02-2020,Health Dept,Increase in mosquito density,Hoysala Nagar/80,East,Sahaaya App,CLOSED
42,14-02-2020,Health Dept,Delay in issue of Trade licence,Binnipet/121,West,Nammabengaluru App,CLOSED
43,14-02-2020,Health Dept,Air/Noise pollution,Ullalu/130,RRNagar,Nammabengaluru App,CLOSED
44,14-02-2020,Health Dept,Delay in issue of Trade licence,Bommanahalli/175,Bommanahalli,BBMP Website,CLOSED
45,14-02-2020,Health Dept,Air/Noise pollution,Mangammanapalya/190,Bommanahalli,Nammabengaluru App,CLOSED
46,14-02-2020,Health Dept,Increase in mosquito density,K.R.Puram/52,Mahadevapura,Sahaaya Helpline,CLOSED
47,14-02-2020,Health Dept,Fogging,Jogupalya/89,East,Sahaaya Helpline,CLOSED
48,14-02-2020,Health Dept,Fogging,Sanjay Nagar/19,East,Sahaaya Helpline,CLOSED
49,15-02-2020,Health Dept,Air/Noise pollution,Jakkur/5,Yelahanka,Whatsapp,CLOSED
50,15-02-2020,Health Dept,Increase in mosquito density,Varthur/149,Mahadevapura,Sahaaya App,CLOSED
51,15-02-2020,Health Dept,Air/Noise pollution,Varthur/149,Mahadevapura,Sahaaya Helpline,CLOSED
52,15-02-2020,Health Dept,Air/Noise pollution,J.P.Park/17,RRNagar,Sahaaya Helpline,REJECTED
53,15-02-2020,Health Dept,Delay in issue of Trade licence,Nayandanahalli/131,West,Sahaaya Helpline,REJECTED
54,16-02-2020,Health Dept,Spraying,Bellandur/150,Mahadevapura,Whatsapp,CLOSED
55,16-02-2020,Health Dept,Delay in issue of Trade licence,Bilekahalli/188,Bommanahalli,Nammabengaluru App,CLOSED
56,16-02-2020,Health Dept,Increase in mosquito density,Bilekahalli/188,Bommanahalli,Nammabengaluru App,CLOSED
57,16-02-2020,Health Dept,Air/Noise pollution,Ganeshmandira Ward/165,South,Nammabengaluru App,REJECTED
58,17-02-2020,Health Dept,Unhygienic premises in Hotel etc,HSR Layout/174,Bommanahalli,Nammabengaluru App,CLOSED
59,17-02-2020,Health Dept,Increase in mosquito density,Bellandur/150,Mahadevapura,Nammabengaluru App,CLOSED
60,17-02-2020,Health Dept,Spraying,Jnanabharathi Ward/129,RRNagar,Nammabengaluru App,CLOSED
61,17-02-2020,Health Dept,Fogging,Kumaraswamy Layout/181,South,Sahaaya Helpline,CLOSED
62,17-02-2020,Health Dept,Increase in mosquito density,Maruthi Seva Nagar/59,East,Sahaaya Helpline,CLOSED
63,17-02-2020,Health Dept,Air/Noise pollution,Hagadooru/84,Mahadevapura,Nammabengaluru App,CLOSED
64,17-02-2020,Health Dept,Increase in mosquito density,Ulsoor/90,East,Sahaaya Helpline,CLOSED
65,18-02-2020,Health Dept,Air/Noise pollution,Bapuji Nagar/134,South,Nammabengaluru App,REJECTED
66,18-02-2020,Health Dept,Air/Noise pollution,Varthur/149,Mahadevapura,Nammabengaluru App,REJECTED
67,18-02-2020,Health Dept,Delay in issue of Trade licence,Shanthala Nagar/111,East,Nammabengaluru App,CLOSED
68,18-02-2020,Health Dept,Increase in mosquito density,Ramamurthy Nagar/26,Mahadevapura,Sahaaya Helpline,CLOSED
69,18-02-2020,Health Dept,Fogging,Sampangiram Nagar/110,East,Sahaaya Helpline,CLOSED
70,18-02-2020,Health Dept,Fogging,HSR Layout/174,Bommanahalli,Sahaaya Helpline,CLOSED
71,18-02-2020,Health Dept,Increase in mosquito density,Horamavu/25,Mahadevapura,Sahaaya Helpline,CLOSED
72,18-02-2020,Health Dept,Fogging,Nagavara/23,East,Sahaaya Helpline,CLOSED
73,19-02-2020,Health Dept,Spraying,Jnanabharathi Ward/129,RRNagar,Sahaaya Helpline,CLOSED
74,19-02-2020,Health Dept,Air/Noise pollution,Sunkenahalli/142,South,Nammabengaluru App,REJECTED
75,19-02-2020,Health Dept,Birth & Death Registration,Bellandur/150,Mahadevapura,Nammabengaluru App,CLOSED
76,19-02-2020,Health Dept,Unhygienic premises in Hotel etc,Anjanapur/196,Bommanahalli,Nammabengaluru App,CLOSED
77,19-02-2020,Health Dept,Unhygienic premises in Hotel etc,Jakkur/5,Yelahanka,Nammabengaluru App,REJECTED
78,19-02-2020,Health Dept,Increase in mosquito density,Malleshwaram/65,West,Nammabengaluru App,CLOSED
79,19-02-2020,Health Dept,Delay in issue of Trade licence,Gandhi Nagar/94,West,Nammabengaluru App,CLOSED
80,19-02-2020,Health Dept,Air/Noise pollution,Malleshwaram/65,West,Nammabengaluru App,CLOSED
81,19-02-2020,Health Dept,Fogging,Malleshwaram/65,West,Nammabengaluru App,CLOSED
82,20-02-2020,Health Dept,Air/Noise pollution,Devarajeevanahalli/47,East,Social Network,CLOSED
83,20-02-2020,Health Dept,Fogging,Dattathreya Temple/77,West,Nammabengaluru App,CLOSED
84,20-02-2020,Health Dept,Fogging,Mahalakshmipuram/68,West,Sahaaya Helpline,CLOSED
85,20-02-2020,Health Dept,Air/Noise pollution,Deepanjali Nagar/158,South,Sahaaya Helpline,CLOSED
86,20-02-2020,Health Dept,Delay in issue of Trade licence,K.R.Market/139,West,Nammabengaluru App,CLOSED
87,20-02-2020,Health Dept,Increase in mosquito density,Ramaswamy Palya/62,East,Nammabengaluru App,CLOSED
88,20-02-2020,Health Dept,Increase in mosquito density,Jogupalya/89,East,Nammabengaluru App,CLOSED
89,20-02-2020,Health Dept,Increase in mosquito density,Adugodi/147,South,Sahaaya Helpline,CLOSED
90,21-02-2020,Health Dept,Air/Noise pollution,HSR Layout/174,Bommanahalli,Nammabengaluru App,CLOSED
91,21-02-2020,Health Dept,Air/Noise pollution,Mangammanapalya/190,Bommanahalli,Nammabengaluru App,CLOSED
92,21-02-2020,Health Dept,Spraying,Kodigehalli/8,Yelahanka,Whatsapp,CLOSED
93,21-02-2020,Health Dept,Air/Noise pollution,Nagavara/23,East,Nammabengaluru App,CLOSED
94,22-02-2020,Health Dept,Spraying,Ulsoor/90,East,Sahaaya Helpline,CLOSED
95,22-02-2020,Health Dept,Unhygienic premises in Hotel etc,Hagadooru/84,Mahadevapura,Nammabengaluru App,CLOSED
96,22-02-2020,Health Dept,Spraying,Kavalbyrasandra/32,East,Nammabengaluru App,CLOSED
97,22-02-2020,Health Dept,Unhygienic premises in Hotel etc,Madiwala/172,South,Social Network,CLOSED
98,23-02-2020,Health Dept,Air/Noise pollution,Chokkasandra/39,Dasarahalli,Nammabengaluru App,RESOLVED
99,23-02-2020,Health Dept,Air/Noise pollution,Vasanth Nagar/93,East,Nammabengaluru App,CLOSED
100,23-02-2020,Health Dept,Unhygienic premises in Hotel etc,Vasanth Nagar/93,East,Nammabengaluru App,CLOSED
101,23-02-2020,Health Dept,Unhygienic premises in Hotel etc,Garudacharpalya/82,Mahadevapura,Sahaaya Helpline,CLOSED
102,23-02-2020,Health Dept,Air/Noise pollution,Vasanth Nagar/93,East,Nammabengaluru App,CLOSED
103,23-02-2020,Health Dept,Air/Noise pollution,Nayandanahalli/131,West,Nammabengaluru App,CLOSED
104,24-02-2020,Health Dept,Unhygienic premises in Hotel etc,HSR Layout/174,Bommanahalli,Nammabengaluru App,CLOSED
105,24-02-2020,Health Dept,Delay in issue of Trade licence,Koramangala/151,South,Nammabengaluru App,CLOSED
106,24-02-2020,Health Dept,Birth & Death Registration,Kempegowda Ward/1,Yelahanka,Nammabengaluru App,CLOSED
107,24-02-2020,Health Dept,Air/Noise pollution,HSR Layout/174,Bommanahalli,Nammabengaluru App,CLOSED
108,24-02-2020,Health Dept,Air/Noise pollution,Shanthala Nagar/111,East,Nammabengaluru App,REJECTED
109,24-02-2020,Health Dept,Air/Noise pollution,HSR Layout/174,Bommanahalli,Sahaaya Helpline,CLOSED
110,24-02-2020,Health Dept,Unhygienic premises in Hotel etc,Ramamurthy Nagar/26,Mahadevapura,Nammabengaluru App,REJECTED
111,24-02-2020,Health Dept,Increase in mosquito density,Uttarahalli/184,Bommanahalli,Sahaaya Helpline,CLOSED
112,24-02-2020,Health Dept,Air/Noise pollution,Shanthala Nagar/111,East,Nammabengaluru App,REJECTED
113,25-02-2020,Health Dept,Increase in mosquito density,Thanisandra/6,Yelahanka,Sahaaya Helpline,CLOSED
114,25-02-2020,Health Dept,Increase in mosquito density,Ramamurthy Nagar/26,Mahadevapura,Nammabengaluru App,CLOSED
115,25-02-2020,Health Dept,Fogging,HSR Layout/174,Bommanahalli,Nammabengaluru App,CLOSED
116,25-02-2020,Health Dept,Air/Noise pollution,Varthur/149,Mahadevapura,Sahaaya Helpline,REJECTED
117,25-02-2020,Health Dept,Increase in mosquito density,K.R.Puram/52,Mahadevapura,Nammabengaluru App,CLOSED
118,25-02-2020,Health Dept,Air/Noise pollution,H.M.T/38,RRNagar,Sahaaya Helpline,CLOSED
119,25-02-2020,Health Dept,Birth & Death Registration,Shivaji Nagar/92,East,BBMP Website,CLOSED
120,25-02-2020,Health Dept,Unhygienic premises in Hotel etc,HSR Layout/174,Bommanahalli,Nammabengaluru App,CLOSED
121,25-02-2020,Health Dept,Air/Noise pollution,Kadugodi/83,Mahadevapura,Nammabengaluru App,CLOSED
122,25-02-2020,Health Dept,Increase in mosquito density,K.R.Puram/52,Mahadevapura,Sahaaya Helpline,CLOSED
123,25-02-2020,Health Dept,Increase in mosquito density,Nayandanahalli/131,West,Nammabengaluru App,CLOSED
124,25-02-2020,Health Dept,Delay in issue of Trade licence,Kadugodi/83,Mahadevapura,BBMP Website,CLOSED
125,26-02-2020,Health Dept,Fogging,Konena Agrahara/113,East,Nammabengaluru App,CLOSED
126,26-02-2020,Health Dept,Fogging,Hoysala Nagar/80,East,Sahaaya Helpline,CLOSED
127,26-02-2020,Health Dept,Delay in issue of Trade licence,Lakkasandra/146,South,BBMP Website,CLOSED
128,26-02-2020,Health Dept,Air/Noise pollution,Shanthala Nagar/111,East,Nammabengaluru App,REJECTED
129,26-02-2020,Health Dept,Delay in issue of Trade licence,Jeevanbhima Nagar/88,East,BBMP Website,CLOSED
130,26-02-2020,Health Dept,Fogging,Rajarajeshwari Nagar/160,RRNagar,Nammabengaluru App,CLOSED
131,26-02-2020,Health Dept,Unhygienic premises in Hotel etc,HSR Layout/174,Bommanahalli,Nammabengaluru App,CLOSED
132,26-02-2020,Health Dept,Air/Noise pollution,HSR Layout/174,Bommanahalli,Nammabengaluru App,CLOSED
133,26-02-2020,Health Dept,Delay in issue of Trade licence,HSR Layout/174,Bommanahalli,Nammabengaluru App,CLOSED
134,26-02-2020,Health Dept,Unhygienic premises in Hotel etc,Hosahalli/124,South,Nammabengaluru App,CLOSED
135,27-02-2020,Health Dept,Delay in issue of Trade licence,Banaswadi/27,East,Nammabengaluru App,REJECTED
136,27-02-2020,Health Dept,Delay in issue of Trade licence,Chikpete/109,West,BBMP Website,CLOSED
137,27-02-2020,Health Dept,Delay in issue of Trade licence,Chikpete/109,West,Nammabengaluru App,CLOSED
138,27-02-2020,Health Dept,Delay in issue of Trade licence,Bharathi Nagar/91,East,Nammabengaluru App,CLOSED
139,27-02-2020,Health Dept,Delay in issue of Trade licence,Hoysala Nagar/80,East,Nammabengaluru App,REJECTED
140,27-02-2020,Health Dept,Air/Noise pollution,Byatarayanapura/7,Yelahanka,Sahaaya Helpline,CLOSED
141,27-02-2020,Health Dept,Air/Noise pollution,Madiwala/172,South,Sahaaya Helpline,CLOSED
142,27-02-2020,Health Dept,Air/Noise pollution,Ganeshmandira Ward/165,South,Sahaaya Helpline,REJECTED
143,27-02-2020,Health Dept,Increase in mosquito density,Doddanekkundi/85,Mahadevapura,Nammabengaluru App,CLOSED
144,27-02-2020,Health Dept,Delay in issue of Trade licence,Kamakshipalya/101,West,Nammabengaluru App,CLOSED
145,27-02-2020,Health Dept,Unhygienic premises in Hotel etc,Rajaji Nagar/99,West,BBMP Website,CLOSED
146,27-02-2020,Health Dept,Delay in issue of Trade licence,Shanthala Nagar/111,East,Nammabengaluru App,REJECTED
147,27-02-2020,Health Dept,Air/Noise pollution,HSR Layout/174,Bommanahalli,Nammabengaluru App,CLOSED
148,27-02-2020,Health Dept,Fogging,K.R.Puram/52,Mahadevapura,Nammabengaluru App,CLOSED
149,27-02-2020,Health Dept,Birth & Death Registration,Hombegowda Nagar/145,South,Nammabengaluru App,CLOSED
150,27-02-2020,Health Dept,Air/Noise pollution,HSR Layout/174,Bommanahalli,Nammabengaluru App,CLOSED
151,27-02-2020,Health Dept,Air/Noise pollution,HSR Layout/174,Bommanahalli,Nammabengaluru App,CLOSED
152,27-02-2020,Health Dept,Spraying,Bellandur/150,Mahadevapura,BBMP Website,CLOSED
153,27-02-2020,Health Dept,Increase in mosquito density,Madiwala/172,South,Nammabengaluru App,CLOSED
154,28-02-2020,Health Dept,Delay in issue of Trade licence,Hagadooru/84,Mahadevapura,Nammabengaluru App,CLOSED
155,28-02-2020,Health Dept,Increase in mosquito density,Shanthala Nagar/111,East,Nammabengaluru App,REJECTED
156,28-02-2020,Health Dept,Increase in mosquito density,K.R.Puram/52,Mahadevapura,Nammabengaluru App,CLOSED
157,28-02-2020,Health Dept,Fogging,K.R.Puram/52,Mahadevapura,BBMP Website,CLOSED
158,28-02-2020,Health Dept,Air/Noise pollution,Arakere/193,Bommanahalli,Nammabengaluru App,CLOSED
159,28-02-2020,Health Dept,Increase in mosquito density,K.R.Puram/52,Mahadevapura,BBMP Website,CLOSED
160,28-02-2020,Health Dept,Increase in mosquito density,K.R.Puram/52,Mahadevapura,BBMP Website,CLOSED
161,28-02-2020,Health Dept,Increase in mosquito density,K.R.Puram/52,Mahadevapura,BBMP Website,CLOSED
162,28-02-2020,Health Dept,Air/Noise pollution,Maruthi Mandira Ward/126,West,Nammabengaluru App,CLOSED
163,28-02-2020,Health Dept,Air/Noise pollution,Moodalapalya/127,West,Nammabengaluru App,CLOSED
164,28-02-2020,Health Dept,Spraying,Singasandra/191,Bommanahalli,Sahaaya Helpline,CLOSED
165,28-02-2020,Health Dept,Increase in mosquito density,Shanthala Nagar/111,East,Nammabengaluru App,REJECTED
166,28-02-2020,Health Dept,Increase in mosquito density,K.R.Puram/52,Mahadevapura,Nammabengaluru App,CLOSED
167,28-02-2020,Health Dept,Increase in mosquito density,K.R.Puram/52,Mahadevapura,Nammabengaluru App,CLOSED
168,28-02-2020,Health Dept,Increase in mosquito density,K.R.Puram/52,Mahadevapura,BBMP Website,CLOSED
169,28-02-2020,Health Dept,Increase in mosquito density,K.R.Puram/52,Mahadevapura,BBMP Website,CLOSED
170,28-02-2020,Health Dept,Increase in mosquito density,K.R.Puram/52,Mahadevapura,BBMP Website,CLOSED
171,28-02-2020,Health Dept,Increase in mosquito density,K.R.Puram/52,Mahadevapura,BBMP Website,CLOSED
172,28-02-2020,Health Dept,Delay in issue of Trade licence,Kempegowda Ward/1,Yelahanka,BBMP Website,CLOSED
173,28-02-2020,Health Dept,Increase in mosquito density,K.R.Puram/52,Mahadevapura,BBMP Website,CLOSED
174,28-02-2020,Health Dept,Increase in mosquito density,K.R.Puram/52,Mahadevapura,BBMP Website,CLOSED
175,28-02-2020,Health Dept,Increase in mosquito density,K.R.Puram/52,Mahadevapura,BBMP Website,CLOSED
176,28-02-2020,Health Dept,Increase in mosquito density,K.R.Puram/52,Mahadevapura,BBMP Website,CLOSED
177,28-02-2020,Health Dept,Delay in issue of Trade licence,Shiva Nagar/107,West,Sahaaya Helpline,CLOSED
178,28-02-2020,Health Dept,Increase in mosquito density,K.R.Puram/52,Mahadevapura,Nammabengaluru App,CLOSED
179,28-02-2020,Health Dept,Unhygienic premises in Hotel etc,Hegganahalli/71,Dasarahalli,Social Network,RESOLVED
180,28-02-2020,Health Dept,Increase in mosquito density,K.R.Puram/52,Mahadevapura,BBMP Website,CLOSED
181,28-02-2020,Health Dept,Increase in mosquito density,K.R.Puram/52,Mahadevapura,Nammabengaluru App,CLOSED
182,28-02-2020,Health Dept,Fogging,Shanthi Nagar/117,East,Sahaaya Helpline,REJECTED
183,28-02-2020,Health Dept,Fogging,K.R.Puram/52,Mahadevapura,Nammabengaluru App,CLOSED
184,28-02-2020,Health Dept,Increase in mosquito density,Jakkur/5,Yelahanka,Nammabengaluru App,CLOSED
185,28-02-2020,Health Dept,Increase in mosquito density,Shanthala Nagar/111,East,Nammabengaluru App,REJECTED
186,28-02-2020,Health Dept,Increase in mosquito density,Byatarayanapura/7,Yelahanka,Sahaaya Helpline,CLOSED
187,28-02-2020,Health Dept,Spraying,Varthur/149,Mahadevapura,Nammabengaluru App,REJECTED
188,28-02-2020,Health Dept,Air/Noise pollution,Shanthala Nagar/111,East,Nammabengaluru App,REJECTED
189,29-02-2020,Health Dept,Air/Noise pollution,Doddanekkundi/85,Mahadevapura,Nammabengaluru App,CLOSED
190,29-02-2020,Health Dept,Air/Noise pollution,Kadugodi/83,Mahadevapura,Nammabengaluru App,CLOSED
191,29-02-2020,Health Dept,Air/Noise pollution,Padmanabha Nagar/182,South,Nammabengaluru App,CLOSED
192,29-02-2020,Health Dept,Spraying,Jogupalya/89,East,Sahaaya Helpline,CLOSED
193,29-02-2020,Health Dept,Air/Noise pollution,Katriguppe/163,South,Nammabengaluru App,CLOSED
194,29-02-2020,Health Dept,Fogging,K.R.Puram/52,Mahadevapura,Nammabengaluru App,CLOSED
195,29-02-2020,Health Dept,Increase in mosquito density,Doddanekkundi/85,Mahadevapura,Nammabengaluru App,CLOSED
196,29-02-2020,Health Dept,Increase in mosquito density,Rajarajeshwari Nagar/160,RRNagar,Nammabengaluru App,CLOSED
197,29-02-2020,Health Dept,Delay in issue of Trade licence,Vidyaranyapura/9,Yelahanka,Nammabengaluru App,CLOSED
198,29-02-2020,Health Dept,Increase in mosquito density,Hombegowda Nagar/145,South,Nammabengaluru App,CLOSED
199,29-02-2020,Health Dept,Fogging,K.R.Puram/52,Mahadevapura,Nammabengaluru App,CLOSED
200,29-02-2020,Health Dept,Increase in mosquito density,Shanthala Nagar/111,East,Nammabengaluru App,REJECTED
201,29-02-2020,Health Dept,Delay in issue of Trade licence,Vidyaranyapura/9,Yelahanka,Nammabengaluru App,CLOSED
202,29-02-2020,Health Dept,Increase in mosquito density,Banaswadi/27,East,Nammabengaluru App,REJECTED
203,29-02-2020,Health Dept,Fogging,Jayangar/153,South,Nammabengaluru App,CLOSED
204,29-02-2020,Health Dept,Air/Noise pollution,H.M.T/38,RRNagar,Nammabengaluru App,CLOSED
205,29-02-2020,Health Dept,Fogging,K.R.Puram/52,Mahadevapura,Nammabengaluru App,CLOSED
206,29-02-2020,Health Dept,Air/Noise pollution,Bellandur/150,Mahadevapura,Nammabengaluru App,CLOSED
207,29-02-2020,Health Dept,Increase in mosquito density,Visvesvarapuram/143,South,Nammabengaluru App,CLOSED
208,29-02-2020,Health Dept,Air/Noise pollution,Bellandur/150,Mahadevapura,Nammabengaluru App,CLOSED
209,29-02-2020,Health Dept,Fogging,Doddanekkundi/85,Mahadevapura,Sahaaya Helpline,CLOSED
210,29-02-2020,Health Dept,Air/Noise pollution,Doddanekkundi/85,Mahadevapura,Nammabengaluru App,CLOSED
211,29-02-2020,Health Dept,Fogging,Ullalu/130,RRNagar,Nammabengaluru App,CLOSED
212,29-02-2020,Health Dept,Air/Noise pollution,Rayapuram/137,West,Nammabengaluru App,CLOSED
213,29-02-2020,Health Dept,Air/Noise pollution,Doddanekkundi/85,Mahadevapura,BBMP Website,CLOSED
214,29-02-2020,Health Dept,Air/Noise pollution,Ullalu/130,RRNagar,Nammabengaluru App,CLOSED
215,29-02-2020,Health Dept,Air/Noise pollution,Shanthala Nagar/111,East,Nammabengaluru App,REJECTED
216,29-02-2020,Health Dept,Increase in mosquito density,Basavanapura/53,Mahadevapura,Nammabengaluru App,CLOSED
217,29-02-2020,Health Dept,Fogging,Nagavara/23,East,Sahaaya Helpline,CLOSED
218,29-02-2020,Health Dept,Increase in mosquito density,Jayamahal/63,East,Nammabengaluru App,CLOSED
219,29-02-2020,Health Dept,Unhygienic premises in Hotel etc,Vannarpet/115,East,Nammabengaluru App,REJECTED
220,29-02-2020,Health Dept,Increase in mosquito density,Shanthala Nagar/111,East,Nammabengaluru App,CLOSED
221,29-02-2020,Health Dept,Increase in mosquito density,Shanthala Nagar/111,East,Nammabengaluru App,CLOSED
222,01-03-2020,Health Dept,Increase in mosquito density,K.R.Puram/52,Mahadevapura,Nammabengaluru App,CLOSED
223,01-03-2020,Health Dept,Increase in mosquito density,BTM Layout/176,South,Nammabengaluru App,REJECTED
224,01-03-2020,Health Dept,Increase in mosquito density,Visvesvarapuram/143,South,Nammabengaluru App,RESOLVED
225,01-03-2020,Health Dept,Increase in mosquito density,Banaswadi/27,East,Nammabengaluru App,REJECTED
226,01-03-2020,Health Dept,Increase in mosquito density,Hoodi/54,Mahadevapura,Sahaaya Helpline,CLOSED
227,01-03-2020,Health Dept,Fogging,Shanthala Nagar/111,East,Nammabengaluru App,CLOSED
228,01-03-2020,Health Dept,Unhygienic premises in Hotel etc,Kavalbyrasandra/32,East,Nammabengaluru App,CLOSED
229,01-03-2020,Health Dept,Increase in mosquito density,Kempegowda Ward/1,Yelahanka,Nammabengaluru App,CLOSED
230,01-03-2020,Health Dept,Air/Noise pollution,Bellandur/150,Mahadevapura,Nammabengaluru App,CLOSED
231,01-03-2020,Health Dept,Air/Noise pollution,Banaswadi/27,East,Nammabengaluru App,CLOSED
232,01-03-2020,Health Dept,Air/Noise pollution,Visvesvarapuram/143,South,Nammabengaluru App,RESOLVED
233,01-03-2020,Health Dept,Increase in mosquito density,Hoysala Nagar/80,East,Sahaaya Helpline,CLOSED
234,01-03-2020,Health Dept,Unhygienic premises in Hotel etc,Malleshwaram/65,West,Nammabengaluru App,CLOSED
235,01-03-2020,Health Dept,Unhygienic premises in Hotel etc,A.Narayanapura/56,Mahadevapura,Nammabengaluru App,CLOSED
236,01-03-2020,Health Dept,Air/Noise pollution,Shanthala Nagar/111,East,Nammabengaluru App,REJECTED
237,01-03-2020,Health Dept,Increase in mosquito density,Hagadooru/84,Mahadevapura,Nammabengaluru App,CLOSED
238,01-03-2020,Health Dept,Spraying,Hagadooru/84,Mahadevapura,Nammabengaluru App,CLOSED
239,01-03-2020,Health Dept,Air/Noise pollution,Banaswadi/27,East,BBMP Website,REJECTED
240,01-03-2020,Health Dept,Increase in mosquito density,Thanisandra/6,Yelahanka,BBMP Website,CLOSED
241,01-03-2020,Health Dept,Increase in mosquito density,C.V.Raman Nagar/57,East,Nammabengaluru App,REJECTED
242,02-03-2020,Health Dept,Increase in mosquito density,Hoysala Nagar/80,East,BBMP Website,CLOSED
243,02-03-2020,Health Dept,Unhygienic premises in Hotel etc,Hebbal/21,East,Nammabengaluru App,CLOSED
244,02-03-2020,Health Dept,Increase in mosquito density,Horamavu/25,Mahadevapura,BBMP Website,CLOSED
245,02-03-2020,Health Dept,Increase in mosquito density,Garudacharpalya/82,Mahadevapura,Nammabengaluru App,REJECTED
246,02-03-2020,Health Dept,Increase in mosquito density,Vishwanathnagenahalli/22,East,BBMP Website,CLOSED
247,02-03-2020,Health Dept,Increase in mosquito density,K.R.Puram/52,Mahadevapura,Nammabengaluru App,CLOSED
248,02-03-2020,Health Dept,Increase in mosquito density,K.R.Puram/52,Mahadevapura,Nammabengaluru App,CLOSED
249,02-03-2020,Health Dept,Increase in mosquito density,Bilekahalli/188,Bommanahalli,Nammabengaluru App,CLOSED
